"Year","Seasons","Urea","A_S","ACl","CAN","SSP","TSP","MOP","SOP","DAP","MAP","Rock","X10.26.26","X12.32.16","X14.35.14","X15.15.15","X16.20.0","X17.17.17","X19.19.19","X20.20.0","X23.23.0","X28.28.0","X14.28.14","NP.NPKs_other_than_DAP"
"2002-03","Kharif",8818.61,205.91,22.99,81.35,1384.83,NA,839.99,9.72,2148.5,NA,47.29,260.46,242.74,80.7,179.13,87.54,174.51,143.35,881.67,101.32,80.68,3.78,2235.88
"2002-03","Rabi",9674.48,266.93,32.27,79.25,1113.96,NA,1072.03,9.56,3324.55,NA,30.5,353.94,341.82,106.25,137.24,88.17,183.04,130.84,1044.67,85.73,99.17,3.46,2574.33
"2002-03","Total",18493.09,472.84,55.26,160.6,2498.79,NA,1912.02,19.28,5473.05,NA,77.79,614.4,584.56,186.95,316.37,175.71,357.55,274.19,1926.34,187.05,179.85,7.24,4810.21
"2003-04","Kharif",9403.48,229.24,31.33,66.1,1262.43,NA,818.06,17.93,2247.49,NA,51.43,213.21,283.72,80.39,154.83,54.42,224.29,131.74,649.85,67.57,119.81,0.13,1979.96
"2003-04","Rabi",10364,309.58,43.61,76.9,1281.36,NA,1023.11,3.96,3377.4,NA,23.39,291.34,581.87,152.74,170.02,76.92,201.59,174.86,885.82,86.98,154.2,0.55,2776.89
"2003-04","Total",19767.48,538.82,74.94,143,2543.79,NA,1841.17,21.89,5624.89,NA,74.82,504.55,865.59,233.13,324.85,131.34,425.88,306.6,1535.67,154.55,274.01,0.68,4756.85
"2004-05","Kharif",9899.37,277.64,27.21,89.67,1301.24,NA,1127.12,18.92,2491.33,NA,41.26,297.09,341.05,134.92,183.53,67.34,203.9,131.78,836.62,36.17,181.15,1.2,2414.75
"2004-05","Rabi",10765.82,250.93,54.97,94.7,1248.11,NA,1279.08,6.7,3764.45,NA,21.3,525.68,752.43,188.48,195.39,63.22,128.52,167.67,868.1,35.23,168.99,NA,3093.71
"2004-05","Total",20665.19,528.57,82.18,184.37,2549.35,NA,2406.2,25.62,6255.78,NA,62.56,822.77,1093.48,323.4,378.92,130.56,332.42,299.45,1704.72,71.4,350.14,1.2,5508.46
"2005-06","Kharif",10858.26,268.1,21.79,88.31,1459.03,NA,1193.19,22.06,2678.41,NA,37.24,487.47,466.55,167.85,213.09,91.72,70.79,120.66,1044.24,9.4,169.81,NA,2841.58
"2005-06","Rabi",11439.25,306.03,34.46,83.52,1296.92,NA,1538.07,5.81,4085.51,NA,23.13,719.83,998.46,175.3,231.38,83.52,132.05,212.6,1037.39,43.87,218.04,NA,3852.44
"2005-06","Total",22297.51,574.13,56.25,171.83,2755.95,NA,2731.26,27.87,6763.92,NA,60.37,1207.3,1465.01,343.15,444.47,175.24,202.84,333.26,2081.63,53.27,387.85,NA,6694.02
"2006-07","Kharif",11588.26,277.51,26.47,72.31,1546.28,NA,1053.67,22.97,3525.63,NA,30.11,656.09,628.58,172.65,228.84,100.46,33.91,127.6,1071.64,37.72,215.53,NA,3273.02
"2006-07","Rabi",12749.4,280.4,29.65,72.89,1364.19,NA,1531.94,4.29,3855.37,NA,12.87,685.3,825.83,201.46,232.67,63.75,27.14,149.28,1138.47,31.06,171.41,NA,3526.37
"2006-07","Total",24337.66,557.91,56.12,145.2,2910.47,NA,2585.61,27.26,7381,NA,42.98,1341.39,1454.41,374.11,461.51,164.21,61.05,276.88,2210.11,68.78,386.94,NA,6799.39
"2007-08","Kharif",12324.32,243.12,4.8,65.02,1495.23,NA,1487.33,22.63,3409.02,NA,31.72,824.12,845.8,81.06,270.63,115.43,35.18,157.45,1214.61,14.71,205.52,NA,3764.51
"2007-08","Rabi",13638.83,140.9,NA,72.55,792.53,NA,1393.36,7.46,4087.59,150.43,18.27,1259.84,419.72,23.66,219.57,51.12,NA,123.75,508.76,17.43,182.36,NA,2956.64
"2007-08","Total",25963.15,384.02,4.8,137.57,2287.76,NA,2880.69,30.09,7496.61,150.43,49.99,2083.96,1265.52,104.72,490.2,166.55,35.18,281.2,1723.37,32.14,387.88,NA,6721.15
"2008-09","Kharif",12891.17,193.61,NA,56.15,1195.91,91.98,2170.56,23.94,4755.43,121.1,32.99,1322.3,395.15,72.9,258.4,96.75,NA,33.27,1085.23,31.2,166.92,NA,3583.22
"2008-09","Rabi",13758.04,191.17,NA,67.85,1420.7,114.56,1906.77,6.19,4475.78,102.77,24.29,1040.06,454.82,65.58,244.41,65.37,NA,NA,1407.52,25.61,39.34,NA,3445.48
"2008-09","Total",26649.21,384.78,NA,124,2616.61,206.54,4077.33,30.13,9231.21,223.87,57.28,2362.36,849.97,138.48,502.81,162.12,NA,33.27,2492.75,56.81,206.26,NA,7028.7
"2009-10","Kharif",12517.55,246.43,NA,1591.7,63.42,73.1,1868.12,21.66,5947.68,99.9,17.29,774.5,278.54,266.79,226.57,90.75,NA,0.01,1616.94,37.69,146.78,NA,3538.47
"2009-10","Rabi",14155.89,223.53,NA,1059.4,50.58,2765.94,11.1,8.31,4544.15,31.37,13.45,1386.82,420.58,383.27,258.1,119.59,NA,0.13,1849.58,61.75,106.44,NA,4617.63
"2009-10","Total",26673.44,469.96,NA,2651.1,114,4634.06,84.2,29.97,10491.83,131.27,30.74,2161.32,699.12,650.06,484.67,210.34,NA,0.14,3466.52,99.44,253.22,NA,8156.1
"2010-11(P)","Kharif",12598.48,327.65,NA,2248.1,52.82,2013.1,70.94,17.57,6070.86,89.45,29.78,1321.54,734.8,373.63,253.83,249.33,102.75,NA,1556.05,69.82,146.49,NA,4897.69
"2010-11(P)","Rabi",15514.05,288.3,13.43,1577.1,51.16,1918.52,15.71,1.7,4799.04,8.57,17.65,1566.42,410.26,267.26,278.47,177.74,153.67,NA,2020.38,30.39,26.46,24.84,4964.46
"2010-11(P)","Total",28112.53,615.95,13.43,3825.2,103.98,3931.62,86.65,19.27,10869.9,98.02,47.43,2887.96,1145.06,640.89,532.3,427.07,256.42,NA,3576.43,100.21,172.95,24.84,9862.15
